Kompozice,Cena,Lokalita,Velikost,Velikost_s_jednotkou
2+kk,14500.0,"Hany Kvapilové, Ostrava - Mariánské Hory",49,49 m²
1+1,8500.0,"náměstí Antonie Bejdové, Ostrava - Poruba",38,38 m²
2+1,11780.0,"Horní, Ostrava - Hrabůvka",57,57 m²
2+1,11000.0,"Václava Košaře, Ostrava - Dubina",43,43 m²
3+1,12000.0,"Karola Šmidkeho, Ostrava - Poruba",62,62 m²
2+kk,10044.0,"Hlávkova, Ostrava - Přívoz",51,51 m²
2+1,12000.0,"Řecká, Ostrava - Poruba",43,43 m²
1+1,12000.0,"Ahepjukova, Ostrava - Moravská Ostrava",39,39 m²
2+kk,16000.0,"Hlavní třída, Ostrava - Poruba",59,59 m²
2+1,18500.0,"Svazácká, Ostrava - Zábřeh",51,51 m²
2+kk,11500.0,"Nádražní, Ostrava - Moravská Ostrava",48,48 m²
3+1,8516.0,"Svojsíkova, Ostrava - Poruba",67,67 m²
2+1,13000.0,"Bohumínská, Ostrava - Slezská Ostrava",53,53 m²
,5500.0,"Krásnopolská, Ostrava - Pustkovec",26,26 m²
2+kk,10900.0,"Korunní, Ostrava - Mariánské Hory",41,41 m²
2+1,11900.0,"Bohumínská, Ostrava - Slezská Ostrava",56,56 m²
4+1,22900.0,"Hlubočická, Vřesina",262,262 m²
3+kk,27900.0,"Krmelínská, Ostrava - Nová Bělá",85,85 m²
1+1,6900.0,"Markova, Ostrava - Zábřeh",31,31 m²
2+kk,11900.0,"Nová osada, Ostrava - Slezská Ostrava",42,42 m²
2+1,16000.0,"30. dubna, Ostrava - Moravská Ostrava",58,58 m²
2+1,9500.0,"Hudební, Ostrava - Mariánské Hory",39,39 m²
2+kk,15000.0,"30. dubna, Ostrava - Moravská Ostrava",48,48 m²
2+kk,15000.0,"30. dubna, Ostrava - Moravská Ostrava",52,52 m²
2+kk,18800.0,"Jantarová, Ostrava - Moravská Ostrava",53,53 m²
3+kk,26000.0,"F. X. Riepla, Ostrava - Moravská Ostrava",85,85 m²
2+1,13900.0,"Výškovická, Ostrava - Zábřeh",55,55 m²
1+kk,7900.0,"Výškovická, Ostrava - Výškovice",28,28 m²
2+1,11900.0,"Václava Košaře, Ostrava - Dubina",44,44 m²
2+1,10000.0,"Horní, Ostrava - Hrabůvka",50,50 m²
1+1,9300.0,"Volgogradská, Ostrava - Zábřeh",36,36 m²
2+1,9400.0,"Středoškolská, Ostrava - Zábřeh",45,45 m²
2+1,9900.0,"Krasnoarmejců, Ostrava - Zábřeh",50,50 m²
2+1,12300.0,"Mitušova, Ostrava - Hrabůvka",55,55 m²
2+1,10000.0,"Horní, Ostrava - Hrabůvka",50,50 m²
2+1,13500.0,"Hornopolní, Ostrava - Moravská Ostrava",60,60 m²
3+1,17000.0,"Lechowiczova, Ostrava - Moravská Ostrava",75,75 m²
2+kk,20000.0,"U Soudu, Ostrava - Poruba",41,41 m²
2+kk,11800.0,"28. října, Ostrava",40,40 m²
1+1,7900.0,"Mitušova, Ostrava - Hrabůvka",35,35 m²
3+1,15500.0,"Čujkovova, Ostrava - Zábřeh",70,70 m²
3+1,13500.0,"Opavská, Ostrava",75,75 m²
2+kk,14500.0,"Hany Kvapilové, Ostrava - Mariánské Hory",49,49 m²
1+1,10200.0,"Dr. Martínka, Ostrava - Hrabůvka",38,38 m²
1+kk,7700.0,"Petruškova, Ostrava - Zábřeh",27,27 m²
2+1,12900.0,"Josefa Skupy, Ostrava - Poruba",56,56 m²
2+kk,13000.0,"V Zátiší, Ostrava - Mariánské Hory",47,47 m²
2+kk,14400.0,"V Zátiší, Ostrava - Mariánské Hory",53,53 m²
1+1,11200.0,"Evžena Rošického, Ostrava - Svinov",37,37 m²
4+kk,25000.0,"Pavlovova, Ostrava - Zábřeh",100,100 m²
1+kk,7500.0,"Výškovická, Ostrava - Výškovice",27,27 m²
1+1,8500.0,"Korunní, Ostrava - Mariánské Hory",41,41 m²
2+kk,13000.0,"Palackého, Ostrava - Přívoz",53,53 m²
2+kk,12500.0,"Palackého, Ostrava - Přívoz",47,47 m²
2+1,10500.0,"Sokolská třída, Ostrava - Moravská Ostrava a Přívoz",56,56 m²
2+1,14000.0,"Jugoslávská, Ostrava - Zábřeh",61,61 m²
2+1,12000.0,"Sokolská třída, Ostrava - Moravská Ostrava",85,85 m²
1+kk,6500.0,"Krakovská, Ostrava - Hrabůvka",24,24 m²
3+1,15000.0,"Gen. Píky, Ostrava - Moravská Ostrava",76,76 m²
3+1,11000.0,"Jaromíra Matuška, Ostrava - Dubina",67,67 m²
1+1,11000.0,"Otakara Jeremiáše, Ostrava - Poruba",39,39 m²
2+kk,29900.0,"Důlní, Ostrava - Moravská Ostrava",60,60 m²
1+1,7830.0,"Spartakovců, Ostrava - Poruba",40,40 m²
2+kk,14500.0,"Hany Kvapilové, Ostrava - Mariánské Hory",49,49 m²
2+1,11000.0,"Alšovo náměstí, Ostrava - Poruba",55,55 m²
1+1,6000.0,"Nádražní, Ostrava - Moravská Ostrava",30,30 m²
3+kk,14500.0,"Mariánské náměstí, Ostrava - Mariánské Hory",83,83 m²
1+kk,12500.0,"28. října, Ostrava - Moravská Ostrava",30,30 m²
1+kk,8700.0,"Husova, Ostrava - Moravská Ostrava",29,29 m²
2+1,16500.0,"Jubilejní, Ostrava - Hrabůvka",56,56 m²
1+kk,7500.0,"Maroldova, Ostrava - Moravská Ostrava",29,29 m²
1+1,8000.0,Ostrava,49,49 m²
1+kk,6500.0,Ostrava - Hrabůvka,24,24 m²
1+1,10100.0,"Kasární, Ostrava - Slezská Ostrava",43,43 m²
2+1,15000.0,"Hlavní třída, Ostrava - Poruba",52,52 m²
2+1,14500.0,"Českobratrská, Ostrava - Moravská Ostrava",85,85 m²
4+kk,21900.0,"Sklářova, Ostrava - Muglinov",87,87 m²
2+kk,22000.0,"Na Františkově, Ostrava - Slezská Ostrava",60,60 m²
1+kk,12325.0,"Sklářova, Ostrava - Muglinov",39,39 m²
2+kk,15000.0,"Stavbařů, Ostrava - Hrabůvka",48,48 m²
1+1,9200.0,"Plzeňská, Ostrava - Zábřeh",45,45 m²
1+kk,7200.0,"Plzeňská, Ostrava - Zábřeh",22,22 m²
2+1,10500.0,"Závodní, Ostrava - Hrabůvka",50,50 m²
2+kk,15000.0,"Nejedlého, Ostrava - Slezská Ostrava",67,67 m²
3+1,10950.0,"Hlavní třída, Ostrava - Poruba",74,74 m²
2+1,9000.0,"Panelová, Ostrava - Poruba",51,51 m²
4+1,23600.0,"Přibylova, Ostrava - Kunčice",118,118 m²
3+1,10000.0,"Jaromíra Matuška, Ostrava - Dubina",69,69 m²
1+1,11500.0,"Lumírova, Ostrava - Výškovice",39,39 m²
3+1,18800.0,"Badatelů, Ostrava - Poruba",65,65 m²
2+kk,10000.0,"Španielova, Ostrava - Poruba",43,43 m²
3+1,15500.0,"Emanuela Podgorného, Ostrava - Dubina",71,71 m²
2+kk,13000.0,"Nádražní, Ostrava - Moravská Ostrava",60,60 m²
3+kk,49000.0,"Křižíkova, Ostrava - Moravská Ostrava",68,68 m²
4+kk,25000.0,"Pavlovova, Ostrava - Zábřeh",102,102 m²
2+1,16000.0,"Jubilejní, Ostrava - Hrabůvka",49,49 m²
3+1,11500.0,"Na Vyhlídce, Vratimov",86,86 m²
1+1,10990.0,"Klegova, Ostrava - Hrabůvka",38,38 m²
1+1,10000.0,"Čujkovova, Ostrava - Zábřeh",29,29 m²
1+1,7580.0,"Jana Ziky, Ostrava - Poruba",38,38 m²
5+1,32000.0,"Sadová, Ostrava - Moravská Ostrava",117,117 m²
2+kk,14500.0,"Hany Kvapilové, Ostrava - Mariánské Hory",49,49 m²
2+kk,14500.0,"Hany Kvapilové, Ostrava - Mariánské Hory",49,49 m²
2+kk,10000.0,"Alšovo náměstí, Ostrava - Poruba",57,57 m²
4+kk,29000.0,"Jubilejní, Ostrava - Hrabůvka",100,100 m²
2+1,11150.0,"Komenského, Ostrava - Poruba",56,56 m²
3+kk,14000.0,"náměstí Družby, Ostrava - Poruba",60,60 m²
1+1,10900.0,"Komenského, Ostrava - Poruba",33,33 m²
3+1,11500.0,"Opavská, Ostrava",74,74 m²
1+kk,8900.0,"Průkopnická, Ostrava - Zábřeh",32,32 m²
2+1,12800.0,"Nálepkova, Ostrava - Poruba",54,54 m²
3+1,18000.0,"Aviatiků, Ostrava - Hrabůvka",80,80 m²
3+kk,32000.0,"F. X. Riepla, Ostrava - Moravská Ostrava",79,79 m²
2+1,10100.0,"Vlasty Vlasákové, Ostrava - Bělský Les",44,44 m²
2+kk,22000.0,Ostrava,60,60 m²
2+kk,26500.0,"Jantarová, Ostrava - Moravská Ostrava",70,70 m²
2+1,14700.0,"Bohumínská, Ostrava - Slezská Ostrava",56,56 m²
3+1,15200.0,"Dr. Martínka, Ostrava - Hrabůvka",63,63 m²
3+1,12000.0,"Svornosti, Ostrava - Zábřeh",65,65 m²
2+1,10000.0,"Stavbařů, Ostrava - Hrabůvka",53,53 m²
3+1,14100.0,"Karla Pokorného, Ostrava - Poruba",71,71 m²
2+kk,7550.0,"Adamusova, Ostrava - Hrabůvka",36,36 m²
1+1,8900.0,Ostrava,50,50 m²
2+1,10500.0,"Mariánskohorská, Ostrava - Moravská Ostrava a Přívoz",65,65 m²
1+kk,6500.0,"Krakovská, Ostrava - Hrabůvka",24,24 m²
1+kk,5400.0,"Jílová, Ostrava - Moravská Ostrava",35,35 m²
2+kk,14500.0,"Hany Kvapilové, Ostrava - Mariánské Hory",49,49 m²
3+1,16000.0,"Alžírská, Ostrava - Poruba",69,69 m²
3+kk,14000.0,"Hornická, Ostrava - Moravská Ostrava",57,57 m²
2+1,9000.0,"Olbrachtova, Ostrava - Slezská Ostrava",68,68 m²
1+kk,6990.0,"Ráčkova, Ostrava",32,32 m²
1+kk,9200.0,"Horní, Ostrava - Bělský Les",34,34 m²
2+1,13500.0,"Bohumínská, Ostrava - Slezská Ostrava",54,54 m²
3+1,13500.0,"Hlavní třída, Ostrava - Poruba",80,80 m²
2+1,13101.0,"Starobělská, Ostrava - Zábřeh",40,40 m²
1+1,,"Tovární, Ostrava - Mariánské Hory",58,58 m²
2+1,13500.0,"Dr. Martínka, Ostrava - Hrabůvka",51,51 m²
2+kk,12932.0,"Lidická, Ostrava - Vítkovice",50,50 m²
2+1,13000.0,"Janáčkova, Ostrava - Moravská Ostrava",60,60 m²
2+kk,12900.0,"S. K. Neumanna, Ostrava - Moravská Ostrava",50,50 m²
2+kk,18000.0,"U Soudu, Ostrava - Poruba",49,49 m²
2+1,9000.0,"Dvouletky, Ostrava - Hrabůvka",53,53 m²
4+kk,33000.0,"Heřmánková, Ostrava - Heřmanice",93,93 m²
2+kk,19900.0,"Keltičkova, Ostrava - Slezská Ostrava",70,70 m²
3+kk,24500.0,"Keltičkova, Ostrava - Slezská Ostrava",77,77 m²
1+1,9300.0,"Čs. exilu, Ostrava - Poruba",58,58 m²
2+1,10000.0,"Vdovská, Ostrava - Muglinov",54,54 m²
2+1,10650.0,"Svazácká, Ostrava - Zábřeh",50,50 m²
3+kk,19900.0,"Slavníkovců, Ostrava - Mariánské Hory",86,86 m²
2+1,9000.0,"Slepá, Ostrava - Poruba",55,55 m²
2+kk,19500.0,"Jantarová, Ostrava - Moravská Ostrava",60,60 m²
2+1,13500.0,"Oblá, Ostrava - Mariánské Hory",81,81 m²
2+kk,19000.0,"Jantarová, Ostrava - Moravská Ostrava",54,54 m²
2+1,11800.0,"Bohumínská, Ostrava - Slezská Ostrava",56,56 m²
3+1,16500.0,"Bohumínská, Ostrava - Slezská Ostrava",65,65 m²
1+1,4990.0,"Arbesova, Ostrava - Přívoz",34,34 m²
1+1,9000.0,"Franklinova, Ostrava - Vítkovice",38,38 m²
1+1,14000.0,"Varenská, Ostrava - Moravská Ostrava",38,38 m²
2+1,8332.0,"Otakara Jeremiáše, Ostrava - Poruba",57,57 m²
1+kk,6500.0,"Krakovská, Ostrava - Hrabůvka",24,24 m²
